id_client;Category;Price;Card Type
37;Electronics;72,93;mastercard
38;Jewelry;121,89;mastercard
39;Baby;64,3;mastercard
40;Outdoors;9,48;mastercard
5;Outdoors;61,95;mastercard
6;Outdoors;15,96;mastercard
7;Beauty;149,02;mastercard
8;Games;97,38;mastercard
9;Outdoors;139,96;mastercard
10;Shoes;55,45;mastercard
11;Jewelry;96,16;mastercard
12;Computers;104,93;mastercard
13;Baby;92,52;mastercard
14;Grocery;108,42;mastercard
15;Shoes;144,17;mastercard
16;Computers;5,45;mastercard
17;Sports;5,12;mastercard
18;Games;29,3;mastercard
19;Toys;9,34;mastercard
20;Music;94,53;mastercard
21;Computers;16,72;mastercard
22;Tools;32,56;mastercard
23;Beauty;6,84;mastercard
24;Grocery;10,44;mastercard
25;Clothing;85,65;mastercard
26;Industrial;133,3;mastercard
27;Baby;69,98;mastercard
28;Jewelry;48,58;mastercard
29;Home;142,53;mastercard
30;Industrial;99,03;mastercard
31;Toys;87,62;mastercard
32;Home;141,11;mastercard
33;Books;68,77;mastercard
34;Home;15,12;mastercard
35;Movies;96,45;mastercard
36;Health;123,38;mastercard
37;Home;58,77;mastercard
38;Clothing;117,56;mastercard
39;Clothing;134,15;mastercard
40;Jewelry;53,63;mastercard
41;Books;82,78;mastercard
42;Movies;132,11;mastercard
43;Computers;59,74;mastercard
44;Automotive;105,26;mastercard
45;Shoes;53,56;mastercard
46;Tools;136,53;mastercard
47;Industrial;106,66;mastercard
48;Health;93,46;mastercard
49;Books;147,63;mastercard
50;Kids;145,58;mastercard
51;Shoes;81,44;mastercard
52;Health;64,7;mastercard
53;Beauty;60,66;mastercard
54;Industrial;9,11;mastercard
55;Industrial;100,62;mastercard
56;Books;132,4;mastercard
57;Kids;60,75;mastercard
58;Toys;10,73;mastercard
59;Music;90,98;mastercard
60;Movies;95,97;mastercard
61;Kids;54,04;mastercard
62;Grocery;97;mastercard
63;Beauty;45,49;mastercard
64;Health;99,37;mastercard
65;Games;26,75;mastercard
66;Shoes;85,94;mastercard
67;Jewelry;17,25;mastercard
68;Games;49,82;mastercard
69;Toys;88,43;mastercard
70;Tools;23,53;mastercard
71;Kids;55,81;mastercard
72;Computers;96,65;mastercard
73;Outdoors;64,76;mastercard
