ID_COMPRA;ID_CLIENTE;PRODUTO;VALOR_UNID;UNIDADES
1247;9081;CAMISETA;34,5;2
1248;9081;CALCA;89,9;1
1250;9560;CAMISETA;34,5;1
1249;9630;BERMUDA;79,5;2
1251;9425;CAMISETA;34,5;3
1252;9425;VESTIDO;102;1
1253;9481;CALCA;89,9;2
1254;9785;MEIA;25,9;1
1255;9786;CALCA;89,9;2
1256;9787;VESTIDO;102;1
1257;9788;CALCA;89,9;2
1258;9789;CAMISETA;34,5;3
1259;9790;CAMISETA;34,5;1
1260;9791;BERMUDA;79,5;2
1261;9792;CAMISETA;34,5;2
1262;9793;CALCA;89,9;2
1263;9794;CALCA;89,9;1
1264;9795;BERMUDA;79,5;2
1265;9796;CAMISETA;34,5;4
1266;9797;CAMISETA;34,5;1
1267;9798;VESTIDO;102;2
1268;9799;MEIA;25,9;3
1269;9800;CAMISETA;34,5;2
1270;9801;CALCA;89,9;1
